date,debt
1/10/04,35
1/17/04,36
1/24/04,36
1/31/04,37
2/7/04,37
2/14/04,37
2/21/04,35
2/28/04,35
3/6/04,34
3/13/04,34
3/20/04,33
3/27/04,30
4/3/04,33
4/10/04,31
4/17/04,33
4/24/04,33
5/1/04,34
5/8/04,31
5/15/04,31
5/22/04,31
5/29/04,31
6/5/04,29
6/12/04,32
6/19/04,30
6/26/04,30
7/3/04,31
7/10/04,29
7/17/04,31
7/24/04,33
7/31/04,33
8/7/04,32
8/14/04,31
8/21/04,30
8/28/04,31
9/4/04,29
9/11/04,30
9/18/04,31
9/25/04,32
10/2/04,33
10/9/04,33
10/16/04,34
10/23/04,34
10/30/04,33
11/6/04,37
11/13/04,33
11/20/04,36
11/27/04,29
12/4/04,34
12/11/04,33
12/18/04,29
12/25/04,22
1/1/05,24
1/8/05,33
1/15/05,33
1/22/05,32
1/29/05,33
2/5/05,33
2/12/05,33
2/19/05,31
2/26/05,32
3/5/05,32
3/12/05,32
3/19/05,32
3/26/05,30
4/2/05,30
4/9/05,30
4/16/05,33
4/23/05,33
4/30/05,32
5/7/05,32
5/14/05,30
5/21/05,30
5/28/05,28
6/4/05,27
6/11/05,29
6/18/05,32
6/25/05,29
7/2/05,29
7/9/05,28
7/16/05,29
7/23/05,30
7/30/05,30
8/6/05,29
8/13/05,30
8/20/05,29
8/27/05,27
9/3/05,28
9/10/05,26
9/17/05,30
9/24/05,31
10/1/05,31
10/8/05,31
10/15/05,30
10/22/05,29
10/29/05,29
11/5/05,30
11/12/05,28
11/19/05,29
11/26/05,25
12/3/05,30
12/10/05,30
12/17/05,28
12/24/05,23
12/31/05,23
1/7/06,31
1/14/06,32
1/21/06,32
1/28/06,32
2/4/06,33
2/11/06,33
2/18/06,31
2/25/06,32
3/4/06,33
3/11/06,32
3/18/06,33
3/25/06,34
4/1/06,33
4/8/06,33
4/15/06,32
4/22/06,33
4/29/06,33
5/6/06,32
5/13/06,31
5/20/06,30
5/27/06,29
6/3/06,27
6/10/06,33
6/17/06,33
6/24/06,31
7/1/06,30
7/8/06,29
7/15/06,36
7/22/06,35
7/29/06,34
8/5/06,32
8/12/06,32
8/19/06,33
8/26/06,28
9/2/06,27
9/9/06,28
9/16/06,32
9/23/06,34
9/30/06,36
10/7/06,34
10/14/06,33
10/21/06,33
10/28/06,32
11/4/06,32
11/11/06,33
11/18/06,32
11/25/06,28
12/2/06,31
12/9/06,32
12/16/06,29
12/23/06,25
12/30/06,24
1/6/07,30
1/13/07,34
1/20/07,32
1/27/07,34
2/3/07,31
2/10/07,30
2/17/07,30
2/24/07,32
3/3/07,30
3/10/07,31
3/17/07,31
3/24/07,30
3/31/07,31
4/7/07,30
4/14/07,30
4/21/07,30
4/28/07,31
5/5/07,32
5/12/07,29
5/19/07,29
5/26/07,29
6/2/07,27
6/9/07,29
6/16/07,28
6/23/07,27
6/30/07,28
7/7/07,26
7/14/07,29
7/21/07,29
7/28/07,30
8/4/07,30
8/11/07,30
8/18/07,32
8/25/07,29
9/1/07,28
9/8/07,26
9/15/07,28
9/22/07,30
9/29/07,32
